rank,score,year,tags,query,title,venue,doi,url,type,abstract
1258,4,1994,,robot world model,Global path planning for mobile robot with grid-type world model,Robotics and Computer-Integrated Manufacturing,10.1016/0736-5845(94)90003-5,https://doi.org/10.1016/0736-5845(94)90003-5,journal-article,
1259,4,1994,,robotics scaling law,Scaling law in ULSI contamination control,IEEE Transactions on Semiconductor Manufacturing,10.1109/66.286832,https://doi.org/10.1109/66.286832,journal-article,
1260,4,1993,,sim-to-real robotics,Case Studies of Real-Time Processing in Robotics,Linear Algebra for Large Scale and Real-Time Applications,10.1007/978-94-015-8196-7_9,https://doi.org/10.1007/978-94-015-8196-7_9,book-chapter,
1261,4,1993,,robot control learning,Learning Control of Robot Manipulators,"Journal of Dynamic Systems, Measurement, and Control",10.1115/1.2899080,https://doi.org/10.1115/1.2899080,journal-article,"<jats:p>Learning control encompasses a class of control algorithms for programmable machines such as robots which attain, through an iterative process, the motor dexterity that enables the machine to execute complex tasks. In this paper we discuss the use of function identification and adaptive control algorithms in learning controllers for robot manipulators. In particular, we discuss the similarities and differences between betterment learning schemes, repetitive controllers and adaptive learn"
1262,4,1993,,robot tactile perception,Special Issue: Robot Behavior. Adaptive Behavior. Tactile Based Robot Motions and Robot Motions for Tactile Sensing.,Journal of the Robotics Society of Japan,10.7210/jrsj.11.1171,https://doi.org/10.7210/jrsj.11.1171,journal-article,
1263,4,1992,,robot world model,&lt;title&gt;World model and its uncertainty in supervisory robot control&lt;/title&gt;,SPIE Proceedings Cooperative Intelligent Robotics in Space II,10.1117/12.56765,https://doi.org/10.1117/12.56765,proceedings-article,
1264,4,1992,,robot world model,A 3D World Model Builder with a Mobile Robot,The International Journal of Robotics Research,10.1177/027836499201100401,https://doi.org/10.1177/027836499201100401,journal-article,"<jats:p>This article describes a system to incrementally build a world model with a mobile robot in an unknown environment. The model is, for the moment, segment based. A trinocular stereo system is used to build a local map about the environment. A global map is obtained by integrating a sequence of stereo frames taken when the robot navigates in the environment. The emphasis of this article is on the representation of the uncer tainty of 3D segments from stereo and on the integration of segmen"
1265,4,1992,,robot locomotion scaling,Scaling of Muscle Fibres and Locomotion,Journal of Experimental Biology,10.1242/jeb.168.1.243,https://doi.org/10.1242/jeb.168.1.243,journal-article,"<jats:title>ABSTRACT</jats:title>
               <jats:p>To reconcile the scaling of the mechanics and energetics of locomotion to recent data on the scaling of the mechanics of muscle fibres, I have extended the theory of Taylor and colleagues that the energetic cost of locomotion is determined by the cost of generating force by the fibres. By assuming (1) that the cost of generating force in a fibre is proportional to Vmax (maximum velocity of shortening) and (2) that, at physiologically equiv"
1266,4,1992,,robot world model,Sensory interactive robot trajectory control using a real-time world model,Journal of Intelligent &amp; Robotic Systems,10.1007/bf00357129,https://doi.org/10.1007/bf00357129,journal-article,
1267,4,1991,,robot tactile perception,Robot Tactile Perception,Sensor-Based Robots: Algorithms and Architectures,10.1007/978-3-642-75530-9_2,https://doi.org/10.1007/978-3-642-75530-9_2,book-chapter,
1268,4,1991,,robot tactile perception,Robot Tactile Sensing,Computing &amp; Control Engineering Journal,10.1049/cce:19910063,https://doi.org/10.1049/cce:19910063,journal-article,
1269,4,1991,,robot foundation model,The Oxford Robot World Model,Expert Systems and Robotics,10.1007/978-3-642-76465-3_16,https://doi.org/10.1007/978-3-642-76465-3_16,book-chapter,
1270,4,1990,,robot world model,Building a 3-D world model for a mobile robot from sensory data.,Journal of the Robotics Society of Japan,10.7210/jrsj.8.160,https://doi.org/10.7210/jrsj.8.160,journal-article,
1271,4,1990,,robot grasping learning,Neural Network Type Grasping Control for Robot Hand,Journal of Robotics and Mechatronics,10.20965/jrm.1990.p0288,https://doi.org/10.20965/jrm.1990.p0288,journal-article,<jats:p>A neural network-type control method to grasp an object and apply force uniformly using multi-joint hand is presented. The controller has lateral inhibition-type parallel processing and autonomously folding toward decreasing the energy of grasping state.</jats:p>
1272,4,1989,,robot control learning,A LEARNING CONCEPT FOR IMPROVING ROBOT FORCE CONTROL,Robot Control 1988 (Syroco '88),10.1016/b978-0-08-035742-3.50036-8,https://doi.org/10.1016/b978-0-08-035742-3.50036-8,book-chapter,
1273,4,1989,,robot tactile perception,A novel tactile sensor for robot applications,Robotica,10.1017/s0263574700006664,https://doi.org/10.1017/s0263574700006664,journal-article,<jats:title>SUMMARY</jats:title><jats:p>This paper examines a tactile slip sensor based on photoelastic effects. Photoelastic patterns are obtained using a Dynamic Ram with a resolution of 256 by 128 pixels. Software is developed to detect changes in the stress patterns when an object moves relative to the surface of the sensor. It is suggested that the stress patterns can be used to detect slippage at the object/gripper interface.</jats:p>
1274,4,1989,,robot tactile perception,A Survey of Robot Tactile Sensing Technology,The International Journal of Robotics Research,10.1177/027836498900800301,https://doi.org/10.1177/027836498900800301,journal-article,"<jats:p>This paper reviews the current state-of-the-art in tactile sens ing technology. We examine in detail the different methods of transduction employed by tactile sensors and describe various significant designs that incorporate these methods. We then describe the different techniques used to process and analyze tactile data. Finally, we conclude with an assessment of the current state of development.</jats:p>"
1275,4,1989,,robot locomotion scaling,Biomechanics and Allometric Scaling in Primate Locomotion and Morphology,Folia Primatologica,10.1159/000156412,https://doi.org/10.1159/000156412,journal-article,"<jats:p>Body size has a dominant influence on locomotor performance and the morphology of the locomotor apparatus. In locomotion under the influence of gravity, body mass acts as weight force and is a mechanical variable. Accordingly, the application of biomechanical principles and methods allows a functional understanding of scaling effects in locomotion. This is demonstrated here using leaping primates as an example. With increasing body size, the decreasing ratio of muscle force available for"
1276,4,1989,,contact-rich manipulation,Contact manipulation and geometric reasoning,Lecture Notes in Computer Science Geometry and Robotics,10.1007/3-540-51683-2_39,https://doi.org/10.1007/3-540-51683-2_39,book-chapter,
1277,4,1988,,robot control learning,A Learning Concept for Improving Robot Force Control,IFAC Proceedings Volumes,10.1016/s1474-6670(17)54608-x,https://doi.org/10.1016/s1474-6670(17)54608-x,journal-article,
1278,4,1987,,robot world model,3-D World Modeling For An Autonomous Robot,SPIE Proceedings Mobile Robots II,10.1117/12.968239,https://doi.org/10.1117/12.968239,proceedings-article,
1279,4,1987,,robot tactile perception,An Anthropomorphic Robot Finger for Investigating Artificial Tactile Perception,The International Journal of Robotics Research,10.1177/027836498700600302,https://doi.org/10.1177/027836498700600302,journal-article,"<jats:p>In this paper the design, implementation, and testing of an artificial tactile sensing system incorporating an articulated robot finger are presented. It was our primary aim in this work to set up the hardware and software tools necessary for investigating basic issues in artificial tactile perception.</jats:p>
                  <jats:p>In the first part of the paper the criteria followed in the design of the robot finger and of its motor and sensory com ponents are outlined.</jats:p>
  "
1280,4,1987,,robot world model,Prolog-Based World Models For Mobile Robot Navigation,SPIE Proceedings Mobile Robots II,10.1117/12.968262,https://doi.org/10.1117/12.968262,proceedings-article,
1281,4,1987,,robot tactile perception,Robot Hands and Tactile Sensing,AI in the 1980s and Beyond,10.7551/mitpress/1166.003.0013,https://doi.org/10.7551/mitpress/1166.003.0013,book-chapter,
1282,4,1987,,robot tactile perception,Robot Tactile Sensing and Schema Control,"Vision, Brain, and Cooperative Computation",10.7551/mitpress/7113.003.0023,https://doi.org/10.7551/mitpress/7113.003.0023,book-chapter,
1283,4,1987,,robot tactile perception,Tactile Sensors for Robot Handling,"Proceedings of the Institution of Mechanical Engineers, Part B: Management and engineering manufacture",10.1243/pime_proc_1987_201_044_02,https://doi.org/10.1243/pime_proc_1987_201_044_02,journal-article,"<jats:p>First and second generation robots have been used cost effectively in high-volume ‘fixed’ or ‘hard’ automated manufacturing/assembly systems. They are ‘limited-ability’ devices using simple logic elements or primitive sensory feedback. However, in the unstructured environment of most manufacturing plants it is often necessary to locate, identify, orientate and position randomly presented components.</jats:p>
                  <jats:p>Visual systems have been researched and developed to p"
1284,4,1986,,robot tactile perception,"Primitives, features, and exploratory procedures: Building a robot tactile perception system",Proceedings. 1986 IEEE International Conference on Robotics and Automation,10.1109/robot.1986.1087541,https://doi.org/10.1109/robot.1986.1087541,proceedings-article,
1285,4,1986,,robot tactile perception,Robot Sensors (Vol. 2—Tactile),Electronics and Power,10.1049/ep.1986.0364,https://doi.org/10.1049/ep.1986.0364,journal-article,
1286,4,1985,,robot tactile perception,Robot Tactile Sensing: A New Array Sensor,IFAC Proceedings Volumes,10.1016/s1474-6670(17)59973-5,https://doi.org/10.1016/s1474-6670(17)59973-5,journal-article,
1287,4,1984,,robot tactile perception,Roles of tactile sensors in robot.,Journal of the Robotics Society of Japan,10.7210/jrsj.2.426,https://doi.org/10.7210/jrsj.2.426,journal-article,
1288,4,1980,,robotics scaling law,WAVELET DECONVOLUTION USING A SOURCE SCALING LAW*,Geophysical Prospecting,10.1111/j.1365-2478.1980.tb01266.x,https://doi.org/10.1111/j.1365-2478.1980.tb01266.x,journal-article,"<jats:title>A<jats:sc>bstract</jats:sc></jats:title><jats:p>We present a new method for the extraction and removal of the source wavelet from the reflection seismogram. In contrast to all other methods currently in use, this one does not demand that there be any mathematically convenient relationship between the phase spectrum of the source wavelet and the phase spectrum of the earth impulse response. Instead, it requires a fundamental change in the field technique such that two different seismo"
1289,4,1979,,robotics scaling law,A universal scaling law for hadronic reactions,Pramana,10.1007/bf02846190,https://doi.org/10.1007/bf02846190,journal-article,
1290,4,1977,,robot tactile perception,Robot perception learning,ACM SIGART Bulletin,10.1145/1045343.1045372,https://doi.org/10.1145/1045343.1045372,journal-article,<jats:p>A model of robot perception learning is described that duplicates aspects of observed animal performance. The designer incorporates in the model abstract knowledge about the possible observable consequences of actions in the robot's world. In this way the robot can predict an outcome and can compare the expectation with the actual experience. The robot's internalized perceptions of the world may then be linked with the consequences. The model structure permits the robot to reinforce pred
1291,4,1964,,robot tactile perception,Experiments in Tactile Speech Perception,The Journal of the Acoustical Society of America,10.1121/1.2143391,https://doi.org/10.1121/1.2143391,journal-article,"<jats:p>Periodic and transient pulses of pressure, correlated with specific speech sounds, were applied to the palm of the hand by a special transducer. The intuitive responses of subjects indicated the stimuli as “feeling like” certain vowels, stops, and fricatives, and the electrical analog of this taction parallelled the electrical analog of a model of the ear into which the spoken stimuli were fed. The ease of communication when using this synthetically produced “tactile speech” contributes "
1292,4,1960,,contact-rich manipulation,Manipulation of Contact Glass,American Journal of Ophthalmology,10.1016/0002-9394(60)90850-3,https://doi.org/10.1016/0002-9394(60)90850-3,journal-article,
1293,4,,,contact-rich manipulation,9 On Observing Contact States in Overconstrained Manipulation,Springer Tracts in Advanced Robotics Multi-point Interaction with Real and Virtual Objects,10.1007/11429555_9,https://doi.org/10.1007/11429555_9,book-chapter,
1294,4,,,robot planning learning,A case-based reinforcement learning for probe robot path planning,Proceedings of the 4th World Congress on Intelligent Control and Automation (Cat. No.02EX527),10.1109/wcica.2002.1020762,https://doi.org/10.1109/wcica.2002.1020762,proceedings-article,
1295,4,,,robot world model,A real-time world model for multi-robot teams with high-latency communication,Proceedings 2003 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2003) (Cat. No.03CH37453),10.1109/iros.2003.1249244,https://doi.org/10.1109/iros.2003.1249244,proceedings-article,
1296,4,,,robot reinforcement learning,A reinforcement-learning approach to robot navigation,"IEEE International Conference on Networking, Sensing and Control, 2004",10.1109/icnsc.2004.1297519,https://doi.org/10.1109/icnsc.2004.1297519,proceedings-article,
1297,4,,,robot tactile perception,A robotic tactile perception system concept,7th IEEE Conference on Instrumentation and Measurement Technology,10.1109/imtc.1990.65982,https://doi.org/10.1109/imtc.1990.65982,proceedings-article,
1298,4,,,robot tactile perception,A tactile sensory-enhanced assistive robot,Proceedings of IEEE Sensors,10.1109/icsens.2002.1037368,https://doi.org/10.1109/icsens.2002.1037368,proceedings-article,
1299,4,,,robot world model,Acquisition and display of a world model using an autonomous mobile land robot,Proceedings of IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS'94),10.1109/iros.1994.407551,https://doi.org/10.1109/iros.1994.407551,proceedings-article,
1300,4,,,robot reinforcement learning,Active Bayesian feature weighting in reinforcement learning robot,"2002 IEEE International Conference on Industrial Technology, 2002. IEEE ICIT '02.",10.1109/icit.2002.1189323,https://doi.org/10.1109/icit.2002.1189323,proceedings-article,
1301,4,,,contact-rich manipulation,Adaptive contact-rich manipulation through few-shot imitation learning with Force-Torque feedback and pre-trained object representations_supp1-3497713.mp4,,10.1109/lra.2024.3497713/mm1,https://doi.org/10.1109/lra.2024.3497713/mm1,component,
1302,4,,,robot tactile perception,An approach to integrated tactile perception,Proceedings of International Conference on Robotics and Automation,10.1109/robot.1997.606759,https://doi.org/10.1109/robot.1997.606759,proceedings-article,
1303,4,,,robot tactile perception,An integrated tactile-thermal robot sensor with capacitive tactile array,IAS '95. Conference Record of the 1995 IEEE Industry Applications Conference Thirtieth IAS Annual Meeting,10.1109/ias.1995.530552,https://doi.org/10.1109/ias.1995.530552,proceedings-article,
1304,4,,,sim-to-real robotics,Benchmarking the Sim-to-Real Gap in Cloth Manipulation_supp1-3360814.mp4,,10.1109/lra.2024.3360814/mm1,https://doi.org/10.1109/lra.2024.3360814/mm1,component,
1305,4,,,robot reinforcement learning,Biological robot arm motion through reinforcement learning,Proceedings 2002 IEEE International Conference on Robotics and Automation (Cat. No.02CH37292),10.1109/robot.2002.1014236,https://doi.org/10.1109/robot.2002.1014236,proceedings-article,
1306,4,,,robot reinforcement learning,Biological robot arm motion through reinforcement learning,Proceedings of the 41st SICE Annual Conference. SICE 2002.,10.1109/sice.2002.1195433,https://doi.org/10.1109/sice.2002.1195433,proceedings-article,
1307,4,,,robot world model,Building a 3D world model for mobile robot from sensory data,Proceedings. 1988 IEEE International Conference on Robotics and Automation,10.1109/robot.1988.12177,https://doi.org/10.1109/robot.1988.12177,proceedings-article,
1308,4,,,robot world model,Building a 3D world model with a mobile robot: 3D line segment representation and integration,[1990] Proceedings. 10th International Conference on Pattern Recognition,10.1109/icpr.1990.118061,https://doi.org/10.1109/icpr.1990.118061,proceedings-article,
1309,4,,,contact-rich manipulation,Calibration for contact type of micro-manipulation,Proceedings 1999 IEEE/RSJ International Conference on Intelligent Robots and Systems. Human and Environment Friendly Robots with High Intelligence and Emotional Quotients (Cat. No.99CH36289),10.1109/iros.1999.812764,https://doi.org/10.1109/iros.1999.812764,proceedings-article,
1310,4,,,contact-rich manipulation,Comparison of contact sensor localization abilities during manipulation,Proceedings 1995 IEEE/RSJ International Conference on Intelligent Robots and Systems. Human Robot Interaction and Cooperative Robots,10.1109/iros.1995.526145,https://doi.org/10.1109/iros.1995.526145,proceedings-article,
1311,4,,,contact-rich manipulation,Contact-rich SE(3)-Equivariant Robot Manipulation Task Learning via Geometric Impedance Control_supp1-3346748.mp4,,10.1109/lra.2023.3346748/mm1,https://doi.org/10.1109/lra.2023.3346748/mm1,component,
1312,4,,,contact-rich manipulation,Control Synthesis for Dynamic Contact Manipulation,Proceedings of the 2005 IEEE International Conference on Robotics and Automation,10.1109/robot.2005.1570492,https://doi.org/10.1109/robot.2005.1570492,proceedings-article,
1313,4,,,robot tactile perception,Cooperating robot with visual and tactile skills,Proceedings 1992 IEEE International Conference on Robotics and Automation,10.1109/robot.1992.219984,https://doi.org/10.1109/robot.1992.219984,proceedings-article,
1314,4,,,robot foundation model,Cosmos-Surg-dVRK: World Foundation Model-based Automated Online Evaluation of Surgical Robot Policy Learning_supp1-3675962.mp4,,10.1109/lra.2026.3675962/mm1,https://doi.org/10.1109/lra.2026.3675962/mm1,component,
1315,4,,,robot reinforcement learning,Deep Reinforcement Learning and Learning from Demonstrations for Robot Manipulators,,10.70675/dcf4fecbz66a7z4eecz8fc6z489111a62a52,https://doi.org/10.70675/dcf4fecbz66a7z4eecz8fc6z489111a62a52,dissertation,"<jats:title>Apprentissage profond par Renforcement et Démonstrations, pour le comportement de robots manipulateurs</jats:title>
                <jats:p xml:lang=""fr"">Malgré leur grand succès, les algorithmes d'apprentissage par renforcement doivent encore devenir plus efficaces en termes d'échantillons, en particulier pour la robotique où il est beaucoup plus difficile d'entraîner un agent en dehors d'un environnement de simulation. Alors que la communauté se tourne vers des approches orientées "
1316,4,,,robot reinforcement learning,Direct Gradient-Based Reinforcement Learning for Robot Behavior Learning,"Informatics in Control, Automation and Robotics II",10.1007/978-1-4020-5626-0_21,https://doi.org/10.1007/978-1-4020-5626-0_21,book-chapter,
1317,4,,,contact-rich manipulation,Distributed manipulation with stick-slip contact,Proceedings 2003 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2003) (Cat. No.03CH37453),10.1109/iros.2003.1250738,https://doi.org/10.1109/iros.2003.1250738,proceedings-article,
1318,4,,,robot policy foundation model,Dynamic Policy Learning for Legged Robot with Simplified Model Pretraining and Model-Homotopy-Inspired Transfer_supp1-3692082.mp4,,10.1109/lra.2026.3692082/mm1,https://doi.org/10.1109/lra.2026.3692082/mm1,component,
1319,4,,,embodied intelligence scaling,Embodied Intelligence To Turn Evolvable Assembly Systems Reality,IFIP – The International Federation for Information Processing Innovation in Manufacturing Networks,10.1007/978-0-387-09492-2_29,https://doi.org/10.1007/978-0-387-09492-2_29,book-chapter,
1320,4,,,embodiment generalization robotics,EMBODIMENT,THE MYSTERY OF THINGS,10.4324/9780203361009_chapter_13,https://doi.org/10.4324/9780203361009_chapter_13,book-chapter,
1321,4,,,embodiment generalization robotics,Embodiment,Fueling Culture,10.2307/j.ctt1hfr0s3.36,https://doi.org/10.2307/j.ctt1hfr0s3.36,book-chapter,
1322,4,,,embodiment generalization robotics,Embodiment,In Silico Immunology,10.1007/978-0-387-39241-7_13,https://doi.org/10.1007/978-0-387-39241-7_13,book-chapter,
1323,4,,,embodiment generalization robotics,Embodiment,Physics Subject Headings (PhySH),10.29172/42614004-1a41-47ca-85d0-bc8b88399580,https://doi.org/10.29172/42614004-1a41-47ca-85d0-bc8b88399580,dataset,
1324,4,,,embodiment generalization robotics,Embodiment,Vocabulary for the Study of Religion,10.1163/9789004249707_vsr_dum_000801,https://doi.org/10.1163/9789004249707_vsr_dum_000801,dataset,
1325,4,,,robot reinforcement learning,Evolution and Learning in an Intrinsically Motivated Reinforcement Learning Robot,Lecture Notes in Computer Science Advances in Artificial Life,10.1007/978-3-540-74913-4_30,https://doi.org/10.1007/978-3-540-74913-4_30,book-chapter,
1326,4,,,embodiment generalization robotics,"First-Order Embodiment, Second-Order Embodiment, Third-Order Embodiment",The Routledge Handbook of Embodied Cognition,10.4324/9781315775845.ch26,https://doi.org/10.4324/9781315775845.ch26,book-chapter,
1327,4,,,robot world model,FlowDreamer: A RGB-D World Model with Flow-based Motion Representations for Robot Manipulation_supp1-3653273.mp4,,10.1109/lra.2026.3653273/mm1,https://doi.org/10.1109/lra.2026.3653273/mm1,component,
1328,4,,,contact-rich manipulation,FORGE: Force-Guided Exploration for Robust Contact-Rich Manipulation Under Uncertainty_supp1-3551637.mp4,,10.1109/lra.2025.3551637/mm1,https://doi.org/10.1109/lra.2025.3551637/mm1,component,
1329,4,,,contact-rich manipulation,General-Purpose Sim2Real Protocol for Learning Contact-Rich Manipulation With Marker-Based Visuotactile Sensors_supp1-3352969.mp4,,10.1109/tro.2024.3352969/mm1,https://doi.org/10.1109/tro.2024.3352969/mm1,component,
1330,4,,,contact-rich manipulation,Global Planning for Contact-Rich Manipulation via Local Smoothing of Quasi-Dynamic Contact Models_supp1-3300230.mp4,,10.1109/tro.2023.3300230/mm1,https://doi.org/10.1109/tro.2023.3300230/mm1,component,
1331,4,,,robot grasping learning,Grasping force optimization for multi-fingered robot hands,Proceedings of 1995 IEEE International Conference on Robotics and Automation,10.1109/robot.1995.525418,https://doi.org/10.1109/robot.1995.525418,proceedings-article,
1332,4,,,robot reinforcement learning,Hierarchical learning of robot skills by reinforcement,IEEE International Conference on Neural Networks,10.1109/icnn.1993.298553,https://doi.org/10.1109/icnn.1993.298553,proceedings-article,
1333,4,,,robot control learning,Humanoid robot control based on reinforcement learning,"Micro-Nanomechatronics and Human Science, 2004 and The Fourth Symposium Micro-Nanomechatronics for Information-Based Society, 2004.",10.1109/mhs.2004.1421274,https://doi.org/10.1109/mhs.2004.1421274,proceedings-article,
1334,4,,,robot locomotion scaling,Impact Forces in Legged Robot Locomotion,Proceedings of the 2005 IEEE International Conference on Robotics and Automation,10.1109/robot.2005.1570691,https://doi.org/10.1109/robot.2005.1570691,proceedings-article,
1335,4,,,contact-rich manipulation,Kinematic algorithm of multifingered manipulation with rolling contact,Proceedings. 2000 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2000) (Cat. No.00CH37113),10.1109/iros.2000.894628,https://doi.org/10.1109/iros.2000.894628,proceedings-article,
1336,4,,,robot world model,Kinematic localization for world model calibration in off-line robot programming using Clifford algebra,Proceedings. 1991 IEEE International Conference on Robotics and Automation,10.1109/robot.1991.131644,https://doi.org/10.1109/robot.1991.131644,proceedings-article,
1337,4,,,multimodal robot learning,Learning Multimodal Latent Dynamics for Human-Robot Interaction_supp1-3582829.mp4,,10.1109/tro.2025.3582829/mm1,https://doi.org/10.1109/tro.2025.3582829/mm1,component,
1338,4,,,contact-rich manipulation,Manipulation of enveloped object with elasticity at contact points,Proceedings of the 2001 IEEE International Symposium on Assembly and Task Planning (ISATP2001). Assembly and Disassembly in the Twenty-first Century. (Cat. No.01TH8560),10.1109/isatp.2001.928988,https://doi.org/10.1109/isatp.2001.928988,proceedings-article,
1339,4,,,contact-rich manipulation,Manipulation with soft fingers: contact force control,Proceedings. 1991 IEEE International Conference on Robotics and Automation,10.1109/robot.1991.131657,https://doi.org/10.1109/robot.1991.131657,proceedings-article,
1340,4,,,robot world model,Minimal qualitative topologic world models for mobile robot,Proceedings 1995 Second New Zealand International Two-Stream Conference on Artificial Neural Networks and Expert Systems,10.1109/annes.1995.499503,https://doi.org/10.1109/annes.1995.499503,proceedings-article,
1341,4,,,robot world model,Mobile robot localization using a fuzzy ART world model,IEEE 2002 28th Annual Conference of the Industrial Electronics Society. IECON 02,10.1109/iecon.2002.1185350,https://doi.org/10.1109/iecon.2002.1185350,proceedings-article,
1342,4,,,contact-rich manipulation,Monitoring of a pseudo contact point for fine manipulation,Proceedings of IEEE/RSJ International Conference on Intelligent Robots and Systems. IROS '96,10.1109/iros.1996.571047,https://doi.org/10.1109/iros.1996.571047,proceedings-article,
1343,4,,,embodiment generalization robotics,Movement/embodiment:,Geographies of alternative education,10.2307/j.ctt9qgxpj.11,https://doi.org/10.2307/j.ctt9qgxpj.11,book-chapter,
1344,4,,,robot planning learning,Multi-Robot Path Planning Using Sampling-Based Algorithms and Reinforcement Learning,,10.15368/theses.2021.122,https://doi.org/10.15368/theses.2021.122,dissertation,
1345,4,,,robot tactile perception,Neutral networks for tactile perception,Proceedings. 1988 IEEE International Conference on Robotics and Automation,10.1109/robot.1988.12037,https://doi.org/10.1109/robot.1988.12037,proceedings-article,
1346,4,,,robot world model,Path Planning For A Mobile Robot With Grid Type World Model,Proceedings of the IEEE/RSJ International Conference on Intelligent Robots and Systems,10.1109/iros.1992.587373,https://doi.org/10.1109/iros.1992.587373,proceedings-article,
1347,4,,,embodied intelligence scaling,"Patterns, Hypergraphs and Embodied General Intelligence",The 2006 IEEE International Joint Conference on Neural Network Proceedings,10.1109/ijcnn.2006.1716127,https://doi.org/10.1109/ijcnn.2006.1716127,proceedings-article,
1348,4,,,contact-rich manipulation,Perception of human manipulation based on contact state transition,2004 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS) (IEEE Cat. No.04CH37566),10.1109/iros.2004.1389336,https://doi.org/10.1109/iros.2004.1389336,proceedings-article,
1349,4,,,robot manipulation scaling,Power and impedance scaling in bilateral manipulation,Proceedings. 1991 IEEE International Conference on Robotics and Automation,10.1109/robot.1991.131973,https://doi.org/10.1109/robot.1991.131973,proceedings-article,
1350,4,,,vision language action robotics,Probing Zero-Shot Subtask Generalization in Vision-Language-Action Models,Proceedings of the 23rd Conference on Robots and Vision,10.21428/d82e957c.059173dc,https://doi.org/10.21428/d82e957c.059173dc,proceedings-article,
1351,4,,,robot reinforcement learning,Quadruped robot obstacle negotiation via reinforcement learning,"Proceedings 2006 IEEE International Conference on Robotics and Automation, 2006. ICRA 2006.",10.1109/robot.2006.1642158,https://doi.org/10.1109/robot.2006.1642158,proceedings-article,
1352,4,,,robot reinforcement learning,Refinement of robot motor skills through reinforcement learning,Proceedings of the 27th IEEE Conference on Decision and Control,10.1109/cdc.1988.194487,https://doi.org/10.1109/cdc.1988.194487,proceedings-article,
1353,4,,,robot reinforcement learning,Reinforcement learning applied to robot navigation,,10.47328/ufvbbt.2025.434,https://doi.org/10.47328/ufvbbt.2025.434,dissertation,"<jats:p>Path planning is a key aspect of autonomous navigation, especially for autonomous vehicles, where different priorities such as path length, safety, and energy consumption must be considered. Traditional approaches, including dynamic programming and geometric methods, have been widely used to tackle this problem. However, in recent years, artificial intelligence techniques, particularly reinforcement learning, have gained increasing attention. This thesis explores the application of reinf"
1354,4,,,robot reinforcement learning,Reinforcement learning for a vision based mobile robot,Proceedings. 2000 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2000) (Cat. No.00CH37113),10.1109/iros.2000.894638,https://doi.org/10.1109/iros.2000.894638,proceedings-article,
1355,4,,,robot reinforcement learning,Reinforcement learning for autonomous robot navigation,IJCNN'99. International Joint Conference on Neural Networks. Proceedings (Cat. No.99CH36339),10.1109/ijcnn.1999.833418,https://doi.org/10.1109/ijcnn.1999.833418,proceedings-article,
1356,4,,,robot control learning,Reinforcement Learning for Platform-Independent Visual Robot Control,The 2006 IEEE International Joint Conference on Neural Network Proceedings,10.1109/ijcnn.2006.1716424,https://doi.org/10.1109/ijcnn.2006.1716424,proceedings-article,
1357,4,,,robot reinforcement learning,Reinforcement learning for robot assembly,,10.32657/10356/174724,https://doi.org/10.32657/10356/174724,dissertation,
1358,4,,,robot reinforcement learning,Reinforcement learning on a omnidirectional mobile robot,Proceedings 2003 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2003) (Cat. No.03CH37453),10.1109/iros.2003.1250665,https://doi.org/10.1109/iros.2003.1250665,proceedings-article,
1359,4,,,robot planning learning,RoboGPT-R1: Enhancing Robot Task Planning with Reinforcement Learning,Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,10.65109/noxt1107,https://doi.org/10.65109/noxt1107,proceedings-article,
1360,4,,,robot 3D perception,Robot 3D force-based surface-tracking,Proceedings of IECON'94 - 20th Annual Conference of IEEE Industrial Electronics,10.1109/iecon.1994.397886,https://doi.org/10.1109/iecon.1994.397886,proceedings-article,
1361,4,,,robot manipulation scaling,Robot dexterity: from deformable grasping to impulsive manipulation,,10.31274/etd-180810-4537,https://doi.org/10.31274/etd-180810-4537,dissertation,
1362,4,,,robot manipulation scaling,Robot-Bone Attachment Device for Robot-Assisted Percutaneous Bone Fragment Manipulation,EPiC Series in Health Sciences,10.29007/6wtt,https://doi.org/10.29007/6wtt,proceedings-article,"<jats:p>The treatment of joint-fractures is a common task in orthopaedic surgery causing considerable health costs and patient disabilities. Percutaneous techniques have been developed to mitigate the problems related to open surgery (e.g. soft tissue damage), although their application to joint-fractures is limited by the sub-optimal intra-operative imaging (2D-fluoroscopy) and by the high forces involved. Our earlier research toward improving percutaneous reduction of intra-articular fractures"
1363,4,,,robot tactile perception,Robotic tactile perception,IMTC/99. Proceedings of the 16th IEEE Instrumentation and Measurement Technology Conference (Cat. No.99CH36309),10.1109/imtc.1999.777058,https://doi.org/10.1109/imtc.1999.777058,proceedings-article,
1364,4,,,robotics scaling law,Scaling Construction Autonomous Technologies and Robotics Within the Construction Industry,2021 ASEE Virtual Annual Conference Content Access Proceedings,10.18260/1-2--37698,https://doi.org/10.18260/1-2--37698,proceedings-article,
